x1,x2,x3,x4,x5,x6,x7,x8
a,e,h,l,m,r,t,x
b,e,g,k,o,p,s,w
a,f,i,j,m,q,s,w
a,d,g,j,n,p,s,x
a,e,i,k,m,r,t,v
b,d,h,l,o,r,t,w
a,d,h,k,n,r,t,x
a,f,h,k,m,p,u,v
c,f,h,l,o,r,u,w
c,f,g,j,n,r,u,w
c,d,i,j,o,q,u,v
c,f,h,k,o,r,t,w
b,f,g,k,n,r,t,v
b,f,i,j,n,q,t,x
a,e,h,k,o,p,t,v
b,f,i,k,o,r,s,v
c,e,h,l,o,q,s,x
c,f,g,k,o,q,s,x
c,d,g,j,m,r,s,w
b,d,g,j,o,p,u,w
c,e,i,j,m,r,s,v
b,e,h,j,m,r,t,x
c,e,h,l,n,r,t,v
b,f,g,k,n,p,t,x
c,f,g,j,m,r,s,v
b,f,h,l,m,r,s,w
a,f,i,l,m,q,u,x
b,e,h,l,n,q,u,v
c,d,h,k,o,p,t,x
c,d,h,j,o,r,s,v
b,f,i,j,n,r,s,w
a,f,h,j,m,p,t,w
c,f,g,j,o,p,s,w
b,e,h,j,o,q,t,v
c,e,h,l,o,r,t,w
b,e,h,k,m,r,u,w
b,d,h,l,o,q,u,v
b,e,i,l,o,r,t,x
c,e,g,k,o,q,s,w
a,e,h,k,m,q,s,x
c,e,h,k,n,r,u,x
a,d,g,k,m,r,u,w
c,d,h,j,m,q,u,w
c,f,h,j,n,r,u,v
a,f,h,l,n,p,u,x
b,d,g,k,m,q,t,w
c,d,h,l,o,r,u,v
c,e,i,k,m,q,u,v
c,d,i,j,n,q,t,x
b,f,i,j,m,q,u,v
c,d,h,k,o,q,s,w
b,d,i,k,o,q,t,w
c,e,h,j,o,r,t,w
a,d,g,j,n,q,s,x
b,e,i,k,o,p,u,x
b,f,h,l,m,q,t,v
b,f,g,j,m,r,t,v
b,d,g,l,o,p,t,v
a,f,g,j,m,r,u,v
b,d,i,l,m,q,u,x
b,f,i,k,n,q,u,w
b,d,i,k,n,r,u,x
a,d,i,l,n,p,u,w
a,e,h,l,m,q,s,x
c,d,g,j,m,r,u,w
b,d,g,k,o,q,s,x
c,e,h,j,m,q,t,w
c,e,g,l,m,p,t,x
c,f,h,k,m,r,s,v
a,d,g,k,n,q,t,v
c,f,i,l,o,q,u,x
b,d,h,l,m,q,t,w
b,f,g,l,o,r,t,w
a,d,h,l,o,r,u,v
a,e,h,l,m,q,t,v
c,e,g,k,n,q,u,x
b,d,h,l,m,q,t,v
b,d,g,j,o,p,t,x
a,e,i,j,o,p,u,x
b,e,h,l,n,p,t,x
b,d,h,l,m,p,t,w
c,f,g,k,o,p,s,x
b,f,h,l,m,p,t,w
a,e,h,l,n,q,t,v
a,d,g,j,o,p,t,v
a,e,h,j,n,q,u,w
c,e,i,l,m,q,t,x
a,f,g,l,m,q,u,w
b,e,h,k,o,q,s,x
b,f,h,k,m,q,t,w
c,e,h,l,n,p,s,x
a,d,h,l,o,q,t,w
c,d,h,l,m,q,s,w
a,f,g,j,m,p,u,w
b,f,i,j,n,p,s,w
b,d,g,l,o,p,t,w
a,e,g,j,m,r,u,x
b,e,h,k,m,r,t,v
c,d,h,k,m,r,s,v
b,e,i,l,n,p,s,x
c,e,i,k,m,p,u,v
b,f,i,j,n,q,s,v
b,d,i,j,o,r,s,w
c,f,i,k,o,p,u,v
c,d,g,j,n,q,t,w
a,e,h,j,n,r,t,x
c,f,i,k,m,p,s,v
a,d,h,k,m,r,u,v
a,f,h,l,n,q,s,v
b,d,g,l,o,p,u,w
a,d,i,k,o,q,s,x
b,d,i,l,n,r,t,w
c,e,i,l,n,p,u,w
c,f,i,j,n,q,u,x
a,f,g,k,n,r,u,w
a,e,i,l,n,r,s,x
b,e,g,l,o,p,s,w
a,f,h,j,n,p,u,x
b,e,h,j,o,r,u,x
a,e,g,j,o,p,s,w
a,f,h,k,m,p,u,w
c,d,i,l,m,p,s,x
b,e,g,k,n,q,u,w
a,f,i,j,o,p,s,w
c,d,h,j,m,r,u,x
c,f,i,j,o,q,t,x
c,f,g,k,o,p,s,x
a,e,g,k,o,q,t,v
b,f,h,l,o,q,u,v
c,d,i,j,m,q,s,v
a,e,i,l,n,p,s,x
c,f,i,j,m,q,t,v
a,f,h,j,m,q,s,x
b,f,h,l,n,r,s,w
c,e,h,k,o,r,u,w
c,d,g,j,m,p,s,x
b,f,g,l,m,r,s,v
c,d,i,l,m,r,s,x
c,e,g,k,o,r,u,w
a,f,i,k,m,r,u,v
b,d,g,j,m,r,s,v
b,d,i,j,m,q,t,v
a,e,g,j,m,p,u,x
a,e,i,l,o,r,s,w
b,f,i,j,o,q,u,x
a,d,h,k,n,p,s,w
a,f,i,k,m,q,s,w
